,Site Name,counts,latitude,longitude
300,Hoxsie's Cleaners (Former),1,32.07167,-84.23222
301,Mindis Recycling-Shredding Division,1,33.80889,-84.46333
302,Macon County SR 49 North MSWL,1,32.36472,-84.01944
303,Griffin - Shoal Creek Road Landfill,1,33.25278,-84.37583
304,Barnesville-Goggins Road MSWL,1,33.06583,-84.13778
305,North Park Pavilion Shopping Center,1,33.9025,-84.48167
306,RentRite Property,1,33.77278,-84.52639
307,Louisiana Pacific Corp. - Statesboro,1,32.41972,-81.80417
308,"STSE, Inc.",1,31.17472,-81.49111
309,Bryan County - US 280 Mill Creek MSWLF,1,32.15333,-81.50972
310,Camden County Vacuna Road LF,1,30.78111,-81.69
311,Coffee County Landfill,1,31.5725,-82.89556
312,Dawson County Shoal Hole Road MSWL,1,34.43861,-84.11972
313,Lamar County - Grove Street Extension MSWLF,1,33.08583,-84.20833
