,Site Name,counts,latitude,longitude
247,Alma - Radio Station Road MSWLF,1,31.52028,-82.43472
248,Cairo - 6th Avenue (SL) MSWLF,1,30.88194,-84.22833
249,Johnson County - SR 15 Wrightsville Ph 2 (SL) MSWLF,1,32.68194,-82.71
250,Sumter County Landfill,1,32.06528,-84.27778
251,"Daniel Measurement and Control, Inc.",1,32.48722,-81.72889
252,Klemic Property / Augusta Ordnance Depot (Former),1,33.46,-82.00194
253,Walton County Landfill,1,33.835,-83.75
254,Vantran Electric,1,32.99139,-82.38556
255,"Polymer Specialties, Inc.",1,34.98111,-85.435
256,"Amercord, Inc.",1,31.92444,-82.68278
257,Cork's Fabricare,1,31.22333,-81.47833
258,Lowe's Home Improvement Warehouse,1,33.55083,-84.41389
